Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
U1,WIFIM-SMD_39P-L25.5-W18.0-P1.27,44.45mm,12.83mm,T,180,ESP32-WROOM-32
U7,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,23.54mm,15.90mm,T,270,AMS1117-3.3
U2,SOP8 - DUPLICATE,3.10mm,12.88mm,T,270,XL1509
U4,SOP16_1.27MM,37.97mm,64.29mm,T,270,74HCT595
U5,SOP16_1.27MM,51.89mm,64.29mm,T,270,74HCT595
U6,SOP16_1.27MM,45.24mm,53.69mm,T,270,74HCT595
U8,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,44.35mm,32.29mm,T,270,CH340C
U3,MICROSD,83.78mm,6.39mm,T,0,TF-CARD
USB-LED1,LED 0603R,28.44mm,17.60mm,T,90,UPWD
REST1,SMD-6X6X6,95.02mm,40.53mm,T,360,REST
R1,R0603,35.64mm,45.61mm,T,360,6K
R3,R0603,35.64mm,41.17mm,T,180,6K
R9,R0603,92.28mm,49.15mm,T,90,6K
R11,R0603,75.35mm,38.20mm,T,360,6K
R14,R0603,75.61mm,49.15mm,T,270,6K
R31,R0603,18.62mm,6.33mm,T,90,5K1
R32,R0603,18.62mm,2.19mm,T,90,5K1
R12,R0603,86.78mm,22.73mm,T,180,4.7K
R8,R0603,35.62mm,28.24mm,T,360,2K
R6,R0603,5.67mm,78.74mm,T,180,22R
R13,R0603,24.95mm,44.42mm,T,180,22R
R22,R0603,24.95mm,56.66mm,T,180,22R
R36,R0603,5.67mm,66.01mm,T,180,22R
R38,R0603,28.62mm,64.70mm,T,270,22R
R42,R0603,12.90mm,64.37mm,T,270,22R
R2,R0603,28.45mm,13.35mm,T,90,1K
R7,R0603,5.65mm,80.90mm,T,180,1K
R15,R0603,31.20mm,48.49mm,T,360,1K
R25,R0603,31.20mm,50.62mm,T,180,1K
R30,R0603,74.32mm,43.71mm,T,270,1K
R39,R0603,5.65mm,68.15mm,T,180,1K
R40,R0603,26.37mm,64.70mm,T,270,1K
R43,R0603,10.87mm,64.37mm,T,270,1K
R16,R0603,75.23mm,18.15mm,T,270,10K
R17,R0603,77.94mm,18.15mm,T,270,10K
R18,R0603,60.84mm,57.10mm,T,360,10K
R20,R0603,80.65mm,18.15mm,T,270,10K
R21,R0603,67.70mm,57.10mm,T,360,10K
R23,R0603,83.36mm,18.15mm,T,270,10K
R24,R0603,74.56mm,57.10mm,T,360,10K
R26,R0603,81.42mm,57.10mm,T,360,10K
R27,R0603,88.28mm,57.10mm,T,360,10K
R28,R0603,35.62mm,33.39mm,T,360,10K
R29,R0603,44.13mm,44.22mm,T,360,10K
R33,R0603,35.62mm,30.82mm,T,180,10K
R34,R0603,44.13mm,38.73mm,T,360,10K
R37,R0603,95.13mm,57.10mm,T,180,10K
